abv,text
AAF160,aigle azur one six zero
AAF223,aigle azur two two three
AEA6060,europa six zero six zero
AEA7504,europa seven five zero four
AEE687,aegean six eight seven
AFL2501,aeroflot two five zero one
ANE8751,air nostrum eight seven five one
ANE8950,air nostrum eight niner five zero
AZA93V,alitalia niner three victor
BER17Z,air berlin one seven zulu
BER23E,air berlin two three echo
BER24Y,air berlin two four yankee
BER29U,air berlin two niner uniform
BER3047,air berlin three zero four seven
BER3359,air berlin three three five niner
BER3660,air berlin three six six zero
BER3908,air berlin three niner zero eight
BER49R,air berlin four niner romeo
BER58E,air berlin five eight echo
BER61W,air berlin six one whiskey
BER64Q,air berlin six four quebec
BER76Z,air berlin seven six zulu
BER85C,air berlin eight five charlie
BER94E,air berlin niner four echo
DAH1037,air algerie one zero three seven
DAH2054,air algerie two zero five four
DAH2070,air algerie two zero seven zero
DLH11Y,lufthansa one one yankee
DLH49F,lufthansa four niner foxtrot
DLH4RY,lufthansa four romeo yankee
ECC181,cigogne one eight one
ECJGB,eastcoast jet golf bravo
EFD444,ever flight four four four
EXS148,channex one four eight
EXS190Q,channex one niner zero quebec
EXS877M,channex eight seven seven mike
EZY198D,easy one niner eight delta
EZY29ML,easy two niner mike lima
GIKOS,seba oscar sierra
GOT710,gothic seven one zero
GWI31K,german wings three one kilo
GWI36T,german wings three six tango
GWI4599,german wings four five niner niner
GWI69X,german wings six niner xray
GWI73P,german wings seven three papa
HBVPE,hbv papa echo
HSS01V,tas helicopteros zero one victor
HSS03V,tas helicopteros zero three victor
HZHAA,hzh alpha alpha
IBE3243,iberia three two four three
IBE32JR,iberia three two juliett romeo
LAV234P,lav two three four papa
MON763,monarch seven six three
MON8552,monarch eight five five two
N210RK,ntwo hundred and tenrk
NASA8720,nasairways alpha eight seven two zero
NLY3064,flyniki three zero six four
NLY3726,flyniki three seven two six
NLY8104,flyniki eight one zero four
NLY9138,flyniki niner one three eight
ROT416,tarom four one six
RYR1718,ryanair one seven one eight
RYR4631,ryanair four six three one
RYR5426,ryanair five four two six
RYR6602,ryanair six six zero two
RYR6702,ryanair six seven zero two
RYR7402,ryanair seven four zero two
RYR9064,ryanair niner zero six four
SVA220,saudia two two zero
SWR201G,swissair two zero one golf
SWR207M,swissair two zero seven mike
THY7MV,turkair seven mike victor
THY8MP,turkair eight mike papa
TSO9206,transoviet niner two zero six
TSO9806,transoviet niner eight zero six
VLG3714,vueling three seven one four
VLG3732,vueling three seven three two
VLG6220,vueling six two two zero
VLG8178,vueling eight one seven eight
